'tagfield','tagsubfield','name','repeatable','mandatory'
'762','d','Sted, forlag og dato (år) for utgivelse.',0,0
'762','e','Språkkode.',0,0
'762','f','Landekode.',0,0
'762','g','Relasjonsopplysninger. (R)',1,0
'762','h','Materialbetegnelse.',0,0
'762','i','Årstall i "ren" form. (R)',1,0
'762','k','Serie. (R)',1,0
'762','s','Standardtittel',0,0
'762','t','Tittel',0,0
'762','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'762','x','ISSN',0,0
'762','y','CODEN',0,0
'762','z','ISBN',0,0
'762','7','Type hovedordningsord i delfelt $a',0,0
'765','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'765','b','Utgave.',0,0
'765','d','Sted, forlag og dato (år) for utgivelse.',0,0
'765','e','Språkkode.',0,0
'765','f','Landekode.',0,0
'765','g','Relasjonsopplysninger. (R)',1,0
'765','h','Materialbetegnelse.',0,0
'765','i','Årstall i "ren" form. (R)',1,0
'765','k','Serie. (R)',1,0
'765','s','Standardtittel',0,0
'765','t','Tittel',0,0
'765','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'765','x','ISSN',0,0
'765','y','CODEN',0,0
'765','z','ISBN',0,0
'765','7','Type hovedordningsord i delfelt $a',0,0
'767','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'767','b','Utgave.',0,0
'767','d','Sted, forlag og dato (år) for utgivelse.',0,0
'767','e','Språkkode.',0,0
'767','f','Landekode.',0,0
'767','g','Relasjonsopplysninger. (R)',1,0
'767','h','Materialbetegnelse.',0,0
'767','i','Årstall i "ren" form. (R)',1,0
'767','k','Serie. (R)',1,0
'767','s','Standardtittel',0,0
'767','t','Tittel',0,0
'767','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'767','x','ISSN',0,0
'767','y','CODEN',0,0
'767','z','ISBN',0,0
'767','7','Type hovedordningsord i delfelt $a',0,0
'770','a','Hovedordningsord for posten det lenkes til, hvis dette er et personnavn, korporasjonsnavn eller en standardtittel.',0,0
'770','b','Utgave.',0,0
'770','d','Sted, forlag og dato (år) for utgivelse.',0,0
'770','e','Språkkode.',0,0
'770','f','Landekode.',0,0
'770','g','Relasjonsopplysninger. (R)',1,0
'770','h','Materialbetegnelse.',0,0
'770','i','Årstall i "ren" form. (R)',1,0
'770','k','Serie. (R)',1,0
'770','s','Standardtittel',0,0
'770','t','Tittel',0,0
'770','w','Lokalt systems identifikasjonsnummer. (R)',1,0
'770','x','ISSN',0,0
'770','y','CODEN',0,0
'770','z','ISBN',0,0
'770','7','Type hovedordningsord i delfelt $a',0,0
